name,pop,area (m^2)
42467159,3094,166136
42467069,2863,182479
42466853,2228,188108
1413215971,3597,119678
42466495,4495,167532
42466468,3598,162018
42466282,2229,156923
42466244,3507,163391
42466196,1530,661722
42466188,1619,148056
42466179,2364,202566
42465434,3207,189369
42465349,4179,218505
42465315,3017,165483
42465301,3481,151331
42465292,3057,152453
42465279,3596,151867
42465267,3730,148501
42465260,3828,156385
42464958,3454,240759
42464855,2327,164676
42464811,5420,204944
42464557,3025,159414
1369956648,2275,291971
42460611,3706,183761
42460579,2635,170174
42460410,1917,855050
42458034,4437,305855
42456303,5401,116169
42455259,8428,175572
42455181,4227,103692
42454742,5966,178683
42453610,2189,56090
42453604,3106,78525
42453555,6038,404996
42453158,3772,106047
595314118,9293,214494
42453104,5145,85606
42453036,5156,341838
595314021,8974,218246
42452613,4159,179638
42452556,10290,217626
42452048,1136,104946
42451712,4917,122862
42451409,731,336717
42451018,4511,127408
42449828,3083,103802
42449067,6380,178187
42448996,3364,193863
42448607,5619,153292
42447207,3931,177186
42447199,6768,176899
42447169,3346,51510
42447132,2863,51979
42446994,1992,172894
42446934,8664,175017
42446571,7114,183726
42446552,6612,160257
42446521,5224,142317
42446161,7835,176580
42446152,2093,50730
42446093,3131,51422
42446036,2294,51643
42445899,4319,174085
42445773,3834,613442
42445738,7066,125620
42445733,5437,125571
42445656,5377,172623
42445651,3262,172401
42445637,6941,136127
42445520,2257,115489
42445466,2550,205554
42445291,7709,303277
42445219,3876,144062
42445183,1914,225452
42445027,6208,174356
42444991,2303,175961
42444964,3512,175091
42444954,2058,172650
42444909,4092,174181
42444829,8234,217682
42444822,7275,205460
42444495,5650,125754
42444487,3744,125615
42444353,11,122998
42444230,8109,253931
42444049,1806,197023
42443658,4864,150701
42443561,8554,178161
42443532,6928,174026
42443524,7216,121002
42443488,10292,177787
42443413,9009,175717
42443406,11547,265399
42443388,4190,130383
42443381,8866,138455
42443363,9151,174561
42443346,6437,155741
42443336,10751,182396
42443326,9320,174116
42443305,5542,178307
42443096,6558,175052
42443088,6008,148532
42443078,7476,212522
42443068,7855,182916
42443056,2298,108755
42443048,13749,177371
42443040,7904,109194
42443037,4274,74328
42443029,12444,182091
42443024,11174,181778
42442948,7883,178097
42442937,7026,180579
42442918,8391,177472
42442910,8871,177329
42442895,11740,174704
42442877,7229,175753
42442870,8651,178340
42442851,9237,202380
42442843,3151,89004
42442750,2173,47211
42442684,3946,105150
42442577,3633,178232
42442400,2867,93095
42441953,8300,216191
42441299,8807,223628
42441283,8197,218364
42441276,10064,226878
42440854,2447,409860
42440465,7316,177069
42440449,14425,344049
42440356,7476,229548
42440330,8090,177900
42440075,1819,41338
42440022,6471,225671
42440009,2816,174140
42439996,2719,174253
42439984,1120,177591
42439968,117,175653
42439955,183,175741
42439927,6404,292239
42439910,7980,180467
42439891,5248,180634
42439868,6427,194687
42439860,2644,181422
42439830,8047,174287
42439813,1264,59802
42439537,6202,201134
42439440,1116,175518
42439416,15344,221608
482840749,2162,523119
42439384,6743,173573
42439362,1101,60630
42439225,4465,108499
42439029,6023,285864
42438984,4591,148566
42438971,6127,177391
42438906,2581,129288
42438798,6270,178789
42438791,4195,178226
42438672,5224,174765
42438547,3040,171965
42438498,7813,179108
42438487,4462,178986
42438271,3001,136902
42438052,10820,216832
42438043,8939,178602
42437845,9350,207235
42437834,8463,305885
42437801,4412,176381
42437445,8767,176768
42437433,3971,173023
42437425,3633,172616
42437218,2090,47395
42437211,7556,173198
