name,pop
42467159,3094
42467069,2863
42466853,2228
1413215971,3597
42466495,4495
42466468,3598
42466282,2229
42466244,3507
42466196,1530
42466188,1619
42466179,2364
42465434,3207
42465349,4179
42465315,3017
42465301,3481
42465292,3057
42465279,3596
42465267,3730
42465260,3828
42464958,3454
42464855,2327
42464811,5420
42464557,3025
1369956648,2275
42460611,3706
42460579,2635
42460410,1917
42458034,4437
42456303,5401
42455259,8428
42455181,4227
42454742,5966
42453610,2189
42453604,3106
42453555,6038
42453158,3772
595314118,9293
42453104,5145
42453036,5156
595314021,8974
42452613,4159
42452556,10290
42452048,1136
42451712,4917
42451409,731
42451018,4511
42449828,3083
42449067,6380
42448996,3364
42448607,5619
42447207,3931
42447199,6768
42447169,3346
42447132,2863
42446994,1992
42446934,8664
42446571,7114
42446552,6612
42446521,5224
42446161,7835
42446152,2093
42446093,3131
42446036,2294
42445899,4319
42445773,3834
42445738,7066
42445733,5437
42445656,5377
42445651,3262
42445637,6941
42445520,2257
42445466,2550
42445291,7709
42445219,3876
42445183,1914
42445027,6208
42444991,2303
42444964,3512
42444954,2058
42444909,4092
42444829,8234
42444822,7275
42444495,5650
42444487,3744
42444353,11
42444230,8109
42444049,1806
42443658,4864
42443561,8554
42443532,6928
42443524,7216
42443488,10292
42443413,9009
42443406,11547
42443388,4190
42443381,8866
42443363,9151
42443346,6437
42443336,10751
42443326,9320
42443305,5542
42443096,6558
42443088,6008
42443078,7476
42443068,7855
42443056,2298
42443048,13749
42443040,7904
42443037,4274
42443029,12444
42443024,11174
42442948,7883
42442937,7026
42442918,8391
42442910,8871
42442895,11740
42442877,7229
42442870,8651
42442851,9237
42442843,3151
42442750,2173
42442684,3946
42442577,3633
42442400,2867
42441953,8300
42441299,8807
42441283,8197
42441276,10064
42440854,2447
42440465,7316
42440449,14425
42440356,7476
42440330,8090
42440075,1819
42440022,6471
42440009,2816
42439996,2719
42439984,1120
42439968,117
42439955,183
42439927,6404
42439910,7980
42439891,5248
42439868,6427
42439860,2644
42439830,8047
42439813,1264
42439537,6202
42439440,1116
42439416,15344
482840749,2162
42439384,6743
42439362,1101
42439225,4465
